bimodal,ideal,passComp,sample,avg
0,0,1,22,49
1,1,1,48,42
0,0,1,27,36
0,0,0,25,32
1,2,0,55,57
0,2,1,44,39
1,2,0,23,29
1,1,1,75,43
1,0,1,26,28
0,2,1,57,39
1,1,1,82,55
0,2,1,50,40
1,0,1,75,48
1,0,0,55,100
0,0,1,14,26
1,2,1,44,67
0,1,1,66,48
0,2,0,96,98
0,2,0,84,64
0,0,1,19,33
0,1,1,54,39
1,2,1,22,35
1,0,1,64,38
0,2,1,69,60
0,2,1,48,43
1,0,1,20,29
0,0,0,70,69
1,2,0,45,52
0,1,0,73,63
0,2,1,43,49
1,0,1,21,39
1,2,1,84,52
1,0,1,33,44
1,2,1,28,54
1,2,1,17,41
0,1,0,90,55
1,2,1,35,57
0,0,0,32,37
1,0,1,31,33
1,2,1,49,37
0,1,1,69,32
1,1,1,28,51
0,0,1,78,57
0,1,1,32,35
0,1,1,70,38
1,1,0,73,100
1,0,1,30,44
1,0,0,38,52
1,1,0,87,98
0,1,1,78,47
1,0,1,6,54
0,2,1,61,60
1,1,0,67,53
1,0,0,99,100
0,1,0,86,51
1,2,0,32,7
1,2,1,37,48
1,2,1,31,49
1,0,0,28,39
0,1,0,83,86
0,2,1,48,50
0,1,0,100,92
0,2,1,49,50
0,1,0,55,57
1,0,0,96,80
0,0,1,25,36
1,0,1,20,40
1,0,1,10,28
0,1,1,66,53
0,2,1,73,90
1,2,0,55,75
1,0,0,35,50
0,2,1,67,65
0,0,0,23,10
0,0,1,0,12
0,1,1,91,51
1,0,0,52,48
1,2,1,45,42
1,0,0,47,53
0,1,1,44,31
1,0,0,33,44
0,1,1,40,40
1,2,1,38,71
1,2,1,27,40
0,0,0,30,41
1,2,0,100,100
0,2,1,53,64
0,1,0,26,53
1,0,0,43,53
1,1,1,71,57
0,1,1,82,43
0,1,1,78,53
1,0,1,67,40
0,2,1,55,47
1,0,0,17,31
0,1,0,63,44
1,2,0,87,51
1,2,1,46,43
0,1,0,48,50
1,0,0,11,69
0,2,1,48,47
0,2,1,50,35
1,0,0,69,81
1,1,1,71,43
1,1,1,67,44
0,1,0,71,60
0,0,1,25,50
0,1,1,34,55
0,2,0,56,53
0,0,0,74,94
1,0,0,18,46
0,0,0,46,27
0,2,1,53,54
0,0,1,23,45
1,2,1,33,34
0,0,0,13,40
0,2,0,38,55
0,2,0,15,29
0,1,0,83,56
0,2,0,25,27
1,0,0,32,62
1,2,0,39,37
1,1,1,32,26
1,0,0,43,53
1,1,1,86,54
0,2,0,97,78
1,2,1,79,48
1,2,1,52,45
1,0,0,44,78
0,2,1,50,70
1,1,0,93,51
1,2,1,65,36
1,0,0,53,52
1,2,1,37,45
0,0,0,46,60
1,0,1,84,63
1,1,1,77,40
0,1,1,64,33
1,2,1,15,17
0,0,0,51,53
0,0,1,6,21
1,2,1,67,37
0,1,1,71,43
1,1,0,71,73
1,0,1,28,51
0,2,0,75,56
1,0,1,34,18
0,2,0,44,44
0,2,1,71,61
0,2,1,40,33
0,1,1,45,44
1,1,0,85,61
1,1,1,69,39
0,0,0,26,49
1,2,1,39,54
0,2,1,57,60
1,1,1,72,62
1,1,0,40,28
0,2,0,72,62
1,1,1,100,25
0,0,0,36,52
1,1,1,88,60
1,1,0,62,53
0,1,1,83,44
0,2,0,47,28
0,2,0,42,40
1,1,1,75,33
1,0,1,100,50
1,1,1,81,24
1,1,1,57,35
1,0,0,14,43
0,2,0,84,81
1,2,1,47,62
1,2,0,61,54
0,0,0,34,52
0,0,1,41,46
0,2,1,54,62
1,2,0,53,43
1,0,0,66,36
1,2,1,23,37
1,1,1,74,54
0,0,1,100,65
0,1,1,65,82
0,0,1,23,63
1,1,0,69,36
0,2,1,57,55
0,1,1,58,40
0,0,1,13,15
1,0,0,45,67
1,2,0,63,62
0,0,1,13,49
1,1,0,33,47
0,2,0,67,57
0,1,0,99,53
0,0,0,16,29
1,1,1,77,53
1,2,1,37,52
1,2,1,26,28
0,2,1,55,48
1,1,1,35,47
0,0,1,20,42
0,0,0,43,48
0,0,0,19,40
1,1,1,85,19
0,0,1,80,46
1,2,1,42,38
0,0,1,29,34
1,0,1,79,84
0,0,0,59,49
1,0,1,29,29
1,1,1,63,72
0,2,0,100,100
1,1,0,65,68
1,2,0,91,90
0,2,1,49,45
1,1,0,59,38
0,1,1,32,34
1,1,0,76,86
0,2,0,79,100
1,0,0,45,43
1,1,1,77,35
0,2,1,64,65
0,1,1,70,40
0,0,0,54,73
0,0,0,35,32
0,0,1,46,33
1,2,1,23,22
0,2,1,41,53
1,0,1,52,45
0,0,1,69,18
0,2,0,62,58
1,1,1,100,60
0,2,1,37,46
0,2,1,42,21
1,2,1,17,6
1,0,1,29,56
1,1,1,75,56
0,2,1,41,51
1,0,0,69,62
1,1,0,73,49
0,0,0,62,49
0,2,1,52,48
0,1,1,34,25
0,1,1,57,53
1,0,1,82,54
0,0,1,28,48
1,2,1,36,44
0,2,0,54,59
1,0,0,50,37
1,0,0,43,52
1,1,1,80,61
0,1,0,72,76
1,2,1,25,57
0,2,0,47,67
0,1,0,100,100
1,0,1,25,48
0,0,1,27,48
1,0,1,28,24
0,1,1,62,52
1,1,1,78,43
1,1,1,85,53
1,2,0,56,38
0,0,0,89,64
0,0,1,37,38
0,2,1,33,22
1,0,1,20,24
1,1,1,81,48
0,2,1,51,36
1,2,1,44,64
1,0,1,46,50
1,0,1,21,38
0,2,0,76,64
0,1,1,66,45
1,1,1,86,56
1,0,1,70,43
0,2,0,98,94
1,1,1,59,42
0,0,1,49,50
1,1,1,93,48
1,0,0,47,56
0,2,1,51,63
1,2,1,49,46
0,0,0,19,30
1,0,1,4,20
1,1,0,79,52
0,2,1,52,48
0,1,0,36,45
1,2,1,39,38
1,0,1,7,36
1,2,1,38,57
1,2,0,26,44
1,2,0,64,62
0,1,0,72,53
0,2,1,60,32
1,0,0,65,80
1,1,1,56,58
0,0,0,100,100
0,1,1,73,45
0,1,0,69,88
0,2,1,45,47
0,0,0,100,66
0,1,1,68,54
0,0,0,66,41
0,2,1,57,37
1,2,1,43,55
0,1,1,35,39
1,0,0,46,54
1,1,0,67,47
0,1,0,89,68
0,1,1,76,37
0,2,1,43,28
1,0,1,60,67
1,0,1,11,32
0,0,1,23,32
0,0,1,12,37
1,2,1,32,55
0,1,1,70,33
1,1,0,84,57
1,2,0,100,72
0,1,1,67,42
0,2,1,65,59
0,0,1,30,39
0,0,1,17,35
1,1,1,97,62
1,2,1,52,41
1,1,1,74,55
0,0,1,12,49
1,0,1,27,34
1,1,1,66,50
0,0,0,24,40
1,2,1,64,55
0,2,1,64,47
0,1,0,88,50
1,0,0,16,57
0,1,1,85,53
1,0,1,39,32
1,1,1,89,73
0,1,1,35,32
0,2,0,100,100
1,2,0,29,41
1,1,1,82,71
0,0,0,19,39
1,0,1,31,43
1,2,1,8,44
0,0,1,8,24
0,0,0,50,59
0,2,0,100,40
0,1,0,35,43
1,2,1,53,54
1,1,0,77,100
1,1,0,87,64
1,1,0,91,43
0,0,1,1,50
0,1,1,81,45
0,0,0,32,43
1,2,1,50,52
1,2,0,69,69
0,1,1,66,78
1,1,0,82,53
1,2,0,53,59
0,1,1,69,29
0,2,0,48,59
0,1,1,84,47
0,2,1,38,41
0,2,1,50,49
0,2,1,76,42
0,1,1,41,50
0,2,1,47,49
1,1,0,66,39
1,0,1,30,28
0,0,0,56,80
1,1,1,91,58
1,0,0,52,64
0,0,0,98,100
1,0,0,31,61
0,2,0,41,51
0,1,1,72,39
0,2,0,60,52
1,1,0,48,43
0,2,1,51,32
0,0,1,7,40
1,0,0,74,59
0,2,0,25,33
0,2,1,41,28
0,2,1,46,50
1,1,0,83,65
1,1,1,72,54
0,1,0,95,92
1,2,1,47,52
0,2,0,92,91
1,0,0,32,46
1,1,1,79,52
1,0,0,82,60
0,0,1,13,30
1,0,1,24,39
0,0,1,49,61
1,2,1,29,45
1,1,0,42,63
0,2,0,61,58
1,2,0,70,54
1,1,1,87,75
1,0,0,90,55
1,1,1,75,57
0,1,1,77,32
0,2,0,42,52
0,2,1,53,35
1,1,1,83,55
1,0,1,11,21
1,2,0,100,100
1,1,0,86,74
0,1,0,61,100
0,0,1,59,53
0,2,1,37,48
0,1,0,33,23
1,0,0,34,32
1,2,0,53,51
1,0,1,73,49
0,2,1,47,47
1,2,1,39,36
0,0,1,7,33
0,1,1,47,33
0,2,0,53,37
0,1,1,32,47
1,2,1,58,54
0,0,1,9,49
1,2,1,38,43
0,0,1,32,50
1,1,0,60,39
1,1,1,100,47
1,2,1,51,59
0,2,1,53,46
0,1,0,60,56
1,1,1,73,45
0,1,0,51,58
0,2,1,49,42
1,0,0,85,100
0,0,1,4,30
1,2,0,69,61
1,1,0,84,53
1,2,1,39,37
1,2,1,39,67
1,0,1,28,53
0,1,0,94,59
0,0,1,22,52
0,1,1,43,35
0,2,1,57,52
1,1,1,41,52
0,1,1,71,49
0,0,0,42,65
1,2,1,71,45
0,0,1,6,26
1,2,1,34,47
0,2,0,49,57
0,0,0,8,32
0,0,0,31,51
1,0,1,12,60
1,0,1,31,39
1,1,0,94,79
1,1,1,77,74
0,1,0,96,95
0,2,1,44,46
0,1,0,98,65
0,2,1,41,41
1,1,0,58,42
1,1,1,79,30
0,2,1,46,44
0,2,1,34,43
1,0,1,22,47
1,0,0,100,100
1,0,1,40,61
1,2,1,34,31
1,0,1,32,45
0,1,1,21,58
0,2,1,23,24
1,1,1,67,41
1,1,0,70,73
0,1,1,67,32
0,0,0,35,30
0,1,0,79,56
1,0,0,66,60
0,1,1,81,53
1,2,0,81,82
0,1,1,47,22
1,2,1,38,51
1,2,1,63,44
1,1,0,92,50
0,1,1,79,51
0,2,0,32,59
1,0,1,22,40
1,1,1,86,54
1,0,1,28,27
0,0,1,45,36
0,1,0,87,48
1,0,1,15,1
0,0,1,6,27
0,0,1,33,49
1,0,0,54,67
1,1,1,62,34
0,1,1,74,52
0,1,1,74,50
0,0,1,1,43
0,2,1,31,44
1,1,1,85,47
0,0,1,14,40
0,2,1,40,42
0,2,1,35,25
0,2,1,79,73
1,2,1,23,27
1,1,0,82,89
1,1,0,89,67
1,1,1,77,49
1,2,0,95,90
0,1,1,80,50
1,0,1,24,37
0,1,1,51,38
0,0,0,94,100
1,2,1,1,13
0,2,0,51,54
1,1,1,19,33
1,2,1,46,51
1,2,1,42,36
0,0,1,37,39
1,0,1,23,45
1,0,1,40,85
0,1,1,42,40
1,2,1,35,43
1,1,1,75,37
0,1,0,77,55
0,2,0,59,50
1,2,1,64,38
0,0,1,13,35
1,0,1,68,40
1,0,0,17,26
1,0,1,28,43
1,0,1,63,34
1,1,1,66,54
0,1,1,46,42
0,2,1,65,40
0,2,1,46,62
0,2,0,65,51
0,1,0,79,57
0,0,1,36,48
0,0,1,24,36
1,2,0,51,17
1,1,1,84,55
1,2,1,32,41
1,2,1,36,43
0,0,1,47,63
1,0,0,30,47
0,1,1,33,37
0,1,1,70,45
0,1,1,41,39
0,1,0,55,63
1,2,1,51,51
0,2,1,47,52
1,0,0,65,77
1,1,1,44,54
0,1,1,100,50
0,0,0,49,52
1,2,1,25,31
0,0,0,51,52
0,0,1,9,15
0,1,1,45,37
1,0,0,37,43
0,0,1,17,41
0,2,0,33,32
1,2,0,42,29
1,1,1,86,57
1,1,1,65,40
1,1,1,55,52
0,2,1,54,44
0,0,0,38,44
1,1,1,74,78
0,0,1,35,46
0,2,1,36,43
1,0,0,30,63
1,2,0,54,65
0,0,1,12,28
1,1,1,69,36
1,2,1,40,49
1,2,1,24,61
1,2,0,13,49
0,2,1,49,43
1,0,1,15,21
1,2,1,43,39
1,2,0,33,34
0,1,1,47,44
1,1,1,77,42
1,0,0,85,71
1,0,0,69,89
0,0,1,22,38
0,0,0,64,74
0,1,0,98,100
0,2,1,38,39
0,0,1,27,40
0,1,0,95,95
0,2,1,57,51
0,2,0,51,53
1,2,1,64,46
1,1,1,63,48
1,2,0,82,35
1,2,1,42,53
0,0,1,17,44
0,0,1,12,30
0,2,1,59,50
1,1,1,66,48
0,1,0,80,55
1,1,1,75,39
0,0,0,97,84
1,0,1,29,42
0,1,1,70,40
1,1,0,82,63
1,0,1,70,27
1,1,1,68,35
0,2,1,47,45
1,1,1,71,32
0,0,1,29,40
1,1,0,73,62
1,2,1,28,37
1,2,1,50,64
0,0,1,16,30
0,0,0,45,49
0,2,1,37,42
0,1,0,95,53
1,0,1,30,42
0,1,0,48,28
0,0,1,11,29
1,1,1,50,50
1,2,1,24,76
1,1,0,94,91
0,2,1,29,23
1,0,0,58,40
0,2,0,46,43
0,1,0,91,42
1,1,1,73,51
0,0,1,37,51
1,2,1,43,40
1,0,1,24,56
1,1,1,26,66
0,0,1,21,41
1,1,0,77,62
0,2,1,49,49
0,0,0,57,32
0,1,0,82,61
1,2,1,38,52
1,2,1,30,44
0,1,1,74,64
1,2,0,23,31
1,1,0,64,42
1,0,1,13,47
1,1,1,11,35
1,1,0,74,46
0,2,1,47,36
0,0,1,23,60
1,1,0,53,35
1,1,0,98,60
0,0,1,42,28
1,2,1,25,29
0,0,1,44,46
1,0,1,20,37
0,2,1,48,46
0,1,1,83,58
1,1,0,90,59
1,0,1,37,50
0,2,0,2,39
1,0,1,9,48
0,2,1,57,58
0,0,0,25,57
0,2,0,83,75
1,0,0,33,26
1,2,1,42,40
0,2,0,88,65
0,2,0,78,72
0,1,1,75,48
1,1,0,66,40
0,1,0,100,89
0,0,1,9,53
1,2,1,46,48
1,2,0,46,45
1,0,0,26,31
0,1,0,72,79
1,1,1,79,42
0,2,1,24,19
1,0,1,12,33
1,2,0,13,49
1,2,1,45,75
0,0,0,10,47
1,2,1,33,38
0,1,1,29,43
0,2,1,43,25
0,0,1,19,35
1,1,1,74,43
1,0,1,23,58
0,1,0,80,27
0,0,0,48,53
1,1,1,62,26
1,2,1,17,49
1,1,1,24,16
0,2,1,41,40
0,2,1,51,47
0,2,1,77,60
0,0,1,10,29
0,1,0,63,43
1,0,1,20,13
1,2,1,25,27
0,1,1,60,42
0,0,1,28,47
1,0,0,32,48
1,0,1,20,42
0,1,0,76,54
1,2,0,25,62
0,1,0,67,40
1,0,1,74,40
0,1,0,75,54
0,1,0,63,55
1,2,1,41,41
0,2,1,100,29
1,2,0,37,38
0,1,1,61,29
1,0,1,67,28
1,2,1,18,43
0,0,0,46,61
1,2,0,43,35
1,1,0,90,82
0,0,0,39,45
0,0,0,64,99
1,0,0,47,54
1,2,0,77,67
1,1,0,90,98
0,2,1,65,43
1,1,0,72,59
0,1,1,66,34
1,2,1,18,27
0,1,1,34,45
0,0,0,74,70
1,2,1,24,22
1,1,1,73,32
1,1,1,100,52
1,0,0,46,37
0,2,1,27,34
0,2,0,65,58
1,1,1,84,56
0,2,1,52,56
0,0,1,12,27
0,1,0,72,26
1,0,0,54,75
0,0,0,35,68
1,2,0,100,100
1,2,1,41,59
0,1,0,82,53
1,1,0,71,54
1,0,1,35,51
0,1,1,42,45
1,2,0,78,88
1,2,1,39,38
1,1,1,78,56
0,0,1,4,29
1,1,1,80,35
0,0,1,4,56
0,1,1,49,57
1,0,0,67,81
1,2,0,39,32
0,2,1,23,40
0,0,1,17,52
1,1,1,68,46
0,0,1,28,37
1,1,1,79,49
1,1,1,72,39
1,2,1,47,52
0,2,0,58,54
0,2,1,40,33
0,1,1,81,42
0,0,1,7,18
1,2,1,54,57
1,0,0,86,88
0,1,0,95,72
1,0,0,37,46
0,2,1,46,62
1,0,1,28,42
1,1,1,88,61
1,1,1,74,57
1,0,1,15,36
0,2,1,69,38
0,0,0,43,64
0,0,1,17,49
0,2,0,61,68
1,0,1,9,21
0,2,1,33,31
0,2,1,63,77
1,1,0,40,73
0,1,0,63,47
1,0,1,20,40
1,2,1,49,52
1,1,0,97,68
0,2,1,47,37
0,0,1,35,44
0,2,0,44,67
1,1,0,93,74
0,1,0,100,100
1,0,1,20,23
0,0,1,54,50
1,1,0,100,40
1,0,1,21,46
1,2,0,32,38
1,1,1,76,61
0,1,1,59,49
0,1,1,76,42
0,0,1,14,46
1,2,0,65,83
0,2,0,33,58
1,1,1,71,49
0,0,0,38,49
1,1,1,73,50
1,1,1,79,68
0,0,0,30,48
1,2,1,21,44
0,2,1,34,39
1,1,1,69,20
0,0,0,93,67
1,0,1,40,43
0,2,1,53,66
0,1,1,46,29
0,1,1,32,29
1,2,1,52,42
0,2,1,59,39
1,0,1,58,64
1,0,1,3,31
1,1,1,76,52
0,0,1,19,28
0,1,1,43,35
1,2,0,78,77
0,1,1,89,30
1,2,1,17,13
0,0,1,75,54
0,1,0,52,25
1,1,1,77,50
1,0,0,85,62
0,2,1,42,47
0,2,1,2,64
0,0,1,41,55
1,2,1,50,42
1,1,1,48,27
0,2,1,46,36
1,0,1,51,23
1,2,1,43,47
1,0,1,47,51
0,1,1,73,58
0,2,0,29,49
0,2,1,48,46
0,0,1,18,38
0,2,1,60,47
1,1,1,90,51
1,1,1,73,47
0,0,1,9,33
0,2,1,47,38
1,2,1,92,53
1,0,1,80,64
0,0,1,15,23
0,1,0,38,8
1,1,0,61,60
0,0,0,100,100
1,0,0,41,43
1,2,1,29,30
0,1,1,42,64
1,0,1,14,27
0,1,0,42,28
0,1,1,68,39
1,2,0,54,56
0,2,0,80,91
0,2,0,64,37
0,1,0,43,56
1,0,0,30,43
1,0,1,42,59
1,0,0,65,72
0,0,1,20,41
0,2,0,95,83
1,2,0,22,41
1,1,1,100,65
1,2,0,46,32
1,0,0,77,62
0,2,1,23,31
0,1,1,39,36
0,0,1,24,47
1,1,1,83,59
0,2,1,62,41
0,0,0,38,34
1,2,1,3,17
0,0,1,37,60
1,2,0,26,30
0,1,1,64,34
1,1,0,93,65
0,0,0,57,24
1,2,1,23,29
1,0,1,35,40
0,0,1,63,62
0,1,0,92,91
1,1,1,77,56
1,0,0,37,20
1,2,1,41,33
0,1,0,99,50
0,0,1,13,38
0,2,1,40,43
0,2,0,40,44
1,1,1,71,54
1,0,0,36,39
1,0,1,100,52
0,2,1,40,29
0,1,0,86,50
0,1,0,81,52
